CollegeName,CollegeShortName,Fees
Indian Institute of Technology Bhubaneswar,IIT Bhubaneshwar,"1,00,000"
Indian Institute of Technology Bombay,IIT Bombay,"1,00,000"
Indian Institute of Technology Mandi,IIT Mandi,"1,06,000"
Indian Institute of Technology Delhi,IIT Delhi,"1,00,000"
Indian Institute of Technology Indore,IIT Indore,"1,00,000"
Indian Institute of Technology Kharagpur,IIT Kharagpur,"1,00,000"
Indian Institute of Technology Hyderabad,IIT Hyderabad,"1,00,000"
Indian Institute of Technology Jodhpur,IIT Jodhpur,"1,00,000"
Indian Institute of Technology Kanpur,IIT Kanpur,"1,00,000"
Indian Institute of Technology Madras,IIT Madras,"1,00,000"
Indian Institute of Technology Gandhinagar,IIT Gandhinagar,"1,00,000"
Indian Institute of Technology Patna,IIT Patna,"1,00,000"
Indian Institute of Technology Roorkee,IIT Roorkee,"1,00,000"
Indian Institute of Technology (ISM) Dhanbad,IIT Dhanbad,"1,00,000"
Indian Institute of Technology Ropar,IIT Ropar,"1,00,000"
Indian Institute of Technology (BHU) Varanasi,IIT BHU,"1,06,350"
Indian Institute of Technology Guwahati,IIT Guwahati,"1,00,000"
Indian Institute of Technology Bhilai,IIT Bhilai,"1,00,000"
Indian Institute of Technology Goa,IIT Goa,"1,00,000"
Indian Institute of Technology Palakkad,IIT Palakkad,"1,00,000"
Indian Institute of Technology Tirupati,IIT Tirupati,"1,00,000"
Indian Institute of Technology Jammu,IIT Jammu,"1,00,000"
Indian Institute of Technology Dharwad,IIT Dharwad,"1,00,000"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","NIT Jalandhar, Punjab","62,500"
Malaviya National Institute of Technology Jaipur,"MNIT Jaipur, Rajasthan","62,500"
Maulana Azad National Institute of Technology Bhopal,"MANIT Bhopal, Madhya Pradesh","62,500"
Motilal Nehru National Institute of Technology Allahabad,"MNNIT Allahabad, Uttar Pradesh","62,500"
National Institute of Technology Agartala,"NIT Agartala, Tripura","62,500"
National Institute of Technology Calicut,"NIT Calicut, Kerala","1,25,000"
National Institute of Technology Delhi,NIT Delhi,"62,500"
National Institute of Technology Durgapur,"NIT Durgapur, West Bengal","62,500"
National Institute of Technology Goa,NIT Goa,"62,500"
National Institute of Technology Hamirpur,"NIT Hamirpur, Himachal Pradesh","96,600"
"National Institute of Technology Karnataka, Surathkal","NITK Surathkal, Karnataka","62,500"
National Institute of Technology Meghalaya,NIT Meghalaya,"62,500"
National Institute of Technology Nagaland,NIT Nagaland,"62,500"
National Institute of Technology Patna,"NIT Patna, Bihar","62,500"
National Institute of Technology Puducherry,NIT Puducherry,"62,500"
National Institute of Technology Raipur,"NIT Raipur, Chhattisgarh","62,500"
National Institute of Technology Sikkim,NIT Sikkim,"62,500"
National Institute of Technology Arunachal Pradesh,NIT Arunachal Pradesh,"62,500"
"National Institute of Technology, Jamshedpur","NIT Jamshedpur, Jharkhand","62,500"
"National Institute of Technology, Kurukshetra","NIT Kurukshetra, Haryana","62,500"
"National Institute of Technology, Manipur",NIT Manipur,"77,700"
"National Institute of Technology, Mizoram",NIT Mizoram,"62,500"
"National Institute of Technology, Rourkela","NIT Rourkela, Odisha","62,500"
"National Institute of Technology, Silchar","NIT Silchar, Assam","62,500"
"National Institute of Technology, Srinagar","NIT Srinagar, Jammu & Kashmir","62,500"
"National Institute of Technology, Tiruchirappalli","NIT Trichy, Tamil Nadu","62,500"
"National Institute of Technology, Uttarakhand",NIT Uttarakhand,"62,500"
"National Institute of Technology, Warangal","NIT Warangal, Telangana","62,500"
"Sardar Vallabhbhai National Institute of Technology, Surat","SVNIT Surat, Gujarat","62,500"
"Visvesvaraya National Institute of Technology, Nagpur","VNIT Nagpur, Maharashtra","1,25,000"
"National Institute of Technology, Andhra Pradesh",NIT Andhra Pradesh,"62,500"
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"IIITM Gwalior, Madhya Pradesh","65,000"
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","IIIT Kota, Rajasthan","90,000"
Indian Institute of Information Technology Guwahati,"IIIT Guwahati, Assam","1,25,000"
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","IIIT Kalyani, West Bengal","90,000"
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","IIIT Sonepat, Haryana","90,000"
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","IIIT Una, Himachal Pradesh","1,25,000"
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","IIIT Sri City, Andhra Pradesh","1,55,000"
"Indian Institute of Information Technology(IIIT), Vadodara, Gujarat","IIIT Vadodara, Gujarat","1,05,000"
"Indian Institute of Information Technology, Allahabad","IIIT Allahabad, Uttar Pradesh","66,000"
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","IIITDM Kancheepuram, Tamil Nadu","60,000"
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","IIITDM Jabalpur, Madhya Pradesh","1,03,750"
"Indian Institute of Information Technology Senapati, Manipur","IIIT Senapati, Manipur","1,10,000"
Indian Institute of Information Technology Tiruchirappalli,"IIIT Trichy, Tamil Nadu","96,000"
Indian Institute of Information Technology Lucknow,"IIIT Lucknow, Uttar Pradesh","1,20,000"
Indian Institute of Information Technology(IIIT) Dharwad,"IIIT Dharwad, Karnataka","1,52,500"
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","IIIT Kurnool, Andhra Pradesh","71,874"
Indian Institute of Information Technology(IIIT) Kottayam,"IIIT Kottayam, Kerala","1,20,000"
Indian Institute of Information Technology (IIIT) Ranchi,"IIIT Ranchi, Jharkhand","90,000"
Indian Institute of Information Technology (IIIT) Nagpur,"IIITN Nagpur, Maharashtra","1,98,000"
Indian Institute of Information Technology (IIIT) Pune,"IIIT Pune, Maharashtra","1,80,000"
Indian Institute of Information Technology Bhagalpur,"IIIT Bhagalpur, Bihar","1,08,900"
Indian Institute of Information Technology Bhopal,"IIIT Bhopal,Madhya Pradesh","1,80,000"
Indian Institute of Information Technology Surat,"IIIT Surat, Gujarat","75,000"
"Assam University, Silchar","Assam University, Silchar","1,200"
"Birla Institute of Technology, Mesra, Ranchi","BIT Mesra, Ranchi","1,31,500"
"Gurukula Kangri Vishwavidyalaya, Haridwar","GKV Haridwar, Uttarakhand","67,750"
"Indian Institute of Carpet Technology, Bhadohi","IICT Bhadohi, Uttar Pradesh","55,000"
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad","IITRAM Ahmedabad, Gujarat","72,500"
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","ITGGU Bilaspur, Chhattisgarh",15700*
"J.K. Institute of Applied Physics and Technology, University of Allahabad, Prayagraj","JK University of Allahabad, Prayagraj","20,000"
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","NIELIT Aurangabad, Maharashtra","44,000"
"National Institute of Advanced Manufacturing Technology, Ranchi","NIAMT Ranchi, Jharkhand","25,000"
Sant Longowal Institute of Engineering and Technology,"SLIET Longowal, Punjab","26,200"
"Mizoram University, Aizawl","Mizoram University, Aizwal","31,450*"
"School of Engineering, Tezpur University, Napaam, Tezpur","Tezpur University, Assam","15,000"
"School of Planning & Architecture, Bhopal","SPA Bhopal, Madhya Pradesh","38,800"
"School of Planning & Architecture, New Delhi","SPA Delhi, New Delhi","74,000"
School of Planning & Architecture Vijayawada,"SPA Vijayawada, Andhra Pradesh","47,500"
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","SMVDU Katra, Jammu & Kashmir","1,41,240"
"Indian Institute of Engineering Science and Technology, Shibpur","IIEST Shibpur, West Bengal","62,500"
"International Institute of Information Technology, Naya Raipur","IIIT Naya Raipur, Chhattisgarh","75,000"
University of Hyderabad,"University of Hyderabad, Telangana","17,940"
"Punjab Engineering College, Chandigarh","PEC Chandigarh, Punjab","88,000"
"Jawaharlal Nehru University, Delhi","JNU, New Delhi","62,500"
"International Institute of Information Technology, Bhubaneswar","IIIT Bhubaneswar, Odisha","78,000*"
"Indian Institute of Information Technology, Agartala","IIIT Agartala, Tripura","1,00,000"
"Indian institute of information technology, Raichur, Karnataka","IIIT Raichur, Karnataka","95,000"
"Central institute of Technology Kokrajar, Assam","CIT Kokrajar, Assam","38,500*"
"Puducherry Technological University, Puducherry",PTU Puducherry,"75,000"
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","GKCIET Malda, West Bengal","3,300"
"Central University of Rajasthan, Rajasthan","Central University of Rajasthan, Ajmer","89,460"
"National Institute of Food Technology Entrepreneurship and Management, Sonipat, Haryana","NIFTEM Sonipat, Haryana","51,650"
